Vteam,Hteam
Detroit Pistons,Cleveland Cavaliers
Portland Trail Blazers,Toronto Raptors
Oklahoma City Thunder,Brooklyn Nets
Minnesota Timberwolves,Memphis Grizzlies
Sacramento Kings,Phoenix Suns
New York Knicks,Los Angeles Lakers
San Antonio Spurs,Boston Celtics
Toronto Raptors,Charlotte Hornets
Miami Heat,Indiana Pacers
Washington Wizards,Orlando Magic
Houston Rockets,Atlanta Hawks
Denver Nuggets,Dallas Mavericks
Chicago Bulls,New Orleans Pelicans
New York Knicks,Utah Jazz
Milwaukee Bucks,Golden State Warriors
Cleveland Cavaliers,Detroit Pistons
Boston Celtics,Philadelphia 76ers
Portland Trail Blazers,Minnesota Timberwolves
Houston Rockets,Oklahoma City Thunder
Atlanta Hawks,Washington Wizards
New Orleans Pelicans,New York Knicks
Miami Heat,Brooklyn Nets
Indiana Pacers,Chicago Bulls
San Antonio Spurs,Memphis Grizzlies
Orlando Magic,Phoenix Suns
Charlotte Hornets,Utah Jazz
Los Angeles Lakers,Dallas Mavericks
Milwaukee Bucks,Sacramento Kings
Golden State Warriors,Los Angeles Clippers
Minnesota Timberwolves,Houston Rockets
New Orleans Pelicans,Boston Celtics
Chicago Bulls,Detroit Pistons
Los Angeles Lakers,Oklahoma City Thunder
Philadelphia 76ers,Dallas Mavericks
Cleveland Cavaliers,Denver Nuggets
Milwaukee Bucks,Portland Trail Blazers
Miami Heat,New York Knicks
Utah Jazz,Washington Wizards
Atlanta Hawks,Brooklyn Nets
Golden State Warriors,Memphis Grizzlies
San Antonio Spurs,Toronto Raptors
Los Angeles Clippers,Denver Nuggets
Charlotte Hornets,Phoenix Suns
New Orleans Pelicans,Detroit Pistons
Philadelphia 76ers,Indiana Pacers
Chicago Bulls,Boston Celtics
Oklahoma City Thunder,Minnesota Timberwolves
Charlotte Hornets,Portland Trail Blazers
Orlando Magic,Sacramento Kings
Cleveland Cavaliers,Los Angeles Lakers
Phoenix Suns,Atlanta Hawks
Utah Jazz,Brooklyn Nets
Houston Rockets,Memphis Grizzlies
New York Knicks,Milwaukee Bucks
Dallas Mavericks,Golden State Warriors
Cleveland Cavaliers,Los Angeles Clippers
Detroit Pistons,Boston Celtics
Brooklyn Nets,Philadelphia 76ers
San Antonio Spurs,Miami Heat
Washington Wizards,Chicago Bulls
Indiana Pacers,Minnesota Timberwolves
Toronto Raptors,Oklahoma City Thunder
Charlotte Hornets,Denver Nuggets
Portland Trail Blazers,Houston Rockets
Dallas Mavericks,Sacramento Kings
Orlando Magic,Los Angeles Lakers
Phoenix Suns,New York Knicks
Boston Celtics,Milwaukee Bucks
Utah Jazz,New Orleans Pelicans
Denver Nuggets,Golden State Warriors
Orlando Magic,Los Angeles Clippers
Minnesota Timberwolves,Indiana Pacers
Chicago Bulls,Philadelphia 76ers
Washington Wizards,Toronto Raptors
Cleveland Cavaliers,Memphis Grizzlies
Miami Heat,Oklahoma City Thunder
Atlanta Hawks,San Antonio Spurs
Portland Trail Blazers,Dallas Mavericks
Los Angeles Clippers,New Orleans Pelicans
Milwaukee Bucks,Brooklyn Nets
Phoenix Suns,Boston Celtics
Detroit Pistons,Atlanta Hawks
Philadelphia 76ers,New York Knicks
Cleveland Cavaliers,Chicago Bulls
Toronto Raptors,Minnesota Timberwolves
Orlando Magic,Golden State Warriors
Los Angeles Lakers,Houston Rockets
Portland Trail Blazers,Oklahoma City Thunder
Sacramento Kings,Utah Jazz
Miami Heat,San Antonio Spurs
Indiana Pacers,Denver Nuggets
Detroit Pistons,Washington Wizards
Toronto Raptors,Atlanta Hawks
Philadelphia 76ers,Brooklyn Nets
Orlando Magic,Charlotte Hornets
New York Knicks,Cleveland Cavaliers
Oklahoma City Thunder,Houston Rockets
New Orleans Pelicans,Memphis Grizzlies
Sacramento Kings,Miami Heat
Chicago Bulls,Milwaukee Bucks
Los Angeles Lakers,Boston Celtics
Denver Nuggets,Minnesota Timberwolves
San Antonio Spurs,Phoenix Suns
Indiana Pacers,Utah Jazz
Golden State Warriors,Portland Trail Blazers
Los Angeles Clippers,Dallas Mavericks
Sacramento Kings,Detroit Pistons
Oklahoma City Thunder,Orlando Magic
Philadelphia 76ers,Toronto Raptors
Los Angeles Clippers,Atlanta Hawks
Memphis Grizzlies,Boston Celtics
Washington Wizards,Miami Heat
Los Angeles Lakers,New York Knicks
Minnesota Timberwolves,Chicago Bulls
Denver Nuggets,Houston Rockets
Indiana Pacers,Phoenix Suns
San Antonio Spurs,New Orleans Pelicans
Utah Jazz,Golden State Warriors
Washington Wizards,Cleveland Cavaliers
Los Angeles Lakers,Brooklyn Nets
Dallas Mavericks,Portland Trail Blazers
Milwaukee Bucks,Charlotte Hornets
Memphis Grizzlies,Detroit Pistons
Boston Celtics,Orlando Magic
Toronto Raptors,New York Knicks
Sacramento Kings,Chicago Bulls
Los Angeles Clippers,Miami Heat
Houston Rockets,Minnesota Timberwolves
Denver Nuggets,New Orleans Pelicans
Atlanta Hawks,Oklahoma City Thunder
Phoenix Suns,San Antonio Spurs
Indiana Pacers,Golden State Warriors
Dallas Mavericks,Utah Jazz
Brooklyn Nets,Detroit Pistons
Chicago Bulls,Cleveland Cavaliers
Oklahoma City Thunder,Minnesota Timberwolves
Los Angeles Lakers,Philadelphia 76ers
Houston Rockets,Denver Nuggets
Toronto Raptors,San Antonio Spurs
Washington Wizards,Atlanta Hawks
Phoenix Suns,Memphis Grizzlies
Boston Celtics,New Orleans Pelicans
Brooklyn Nets,New York Knicks
Los Angeles Clippers,Orlando Magic
Indiana Pacers,Portland Trail Blazers
Cleveland Cavaliers,Detroit Pistons
Orlando Magic,Miami Heat
San Antonio Spurs,Chicago Bulls
Sacramento Kings,Minnesota Timberwolves
Dallas Mavericks,Oklahoma City Thunder
Houston Rockets,Utah Jazz
New York Knicks,Charlotte Hornets
Golden State Warriors,Philadelphia 76ers
New Orleans Pelicans,Cleveland Cavaliers
Atlanta Hawks,Toronto Raptors
Denver Nuggets,Memphis Grizzlies
Boston Celtics,Miami Heat
Washington Wizards,Milwaukee Bucks
Phoenix Suns,Dallas Mavericks
Chicago Bulls,Indiana Pacers
Detroit Pistons,Brooklyn Nets
Memphis Grizzlies,New York Knicks
Utah Jazz,San Antonio Spurs
Houston Rockets,Portland Trail Blazers
Oklahoma City Thunder,Sacramento Kings
Toronto Raptors,Cleveland Cavaliers
Charlotte Hornets,Washington Wizards
