WTeam,LTeam,WLoc
Atlanta Hawks,Cleveland Cavaliers,H
Boston Celtics,Memphis Grizzlies,V
Utah Jazz,New York Knicks,H
Denver Nuggets,Phoenix Suns,V
Golden State Warriors,Portland Trail Blazers,V
San Antonio Spurs,Los Angeles Clippers,V
Orlando Magic,Detroit Pistons,H
Minnesota Timberwolves,Miami Heat,V
Toronto Raptors,Chicago Bulls,H
Dallas Mavericks,Oklahoma City Thunder,H
Portland Trail Blazers,Philadelphia 76ers,H
Los Angeles Lakers,Sacramento Kings,H
Indiana Pacers,Atlanta Hawks,H
Charlotte Hornets,Orlando Magic,H
Houston Rockets,Memphis Grizzlies,H
San Antonio Spurs,Boston Celtics,H
New Orleans Pelicans,Minnesota Timberwolves,H
Oklahoma City Thunder,Dallas Mavericks,H
Golden State Warriors,Phoenix Suns,V
Toronto Raptors,Utah Jazz,H
Milwaukee Bucks,Detroit Pistons,H
Denver Nuggets,New York Knicks,H
Portland Trail Blazers,Sacramento Kings,V
Philadelphia 76ers,Los Angeles Clippers,V
Dallas Mavericks,Charlotte Hornets,V
Miami Heat,Cleveland Cavaliers,V
Washington Wizards,Atlanta Hawks,H
Brooklyn Nets,New Orleans Pelicans,H
Boston Celtics,Minnesota Timberwolves,H
Orlando Magic,Chicago Bulls,V
Detroit Pistons,Memphis Grizzlies,V
Philadelphia 76ers,Phoenix Suns,V
Oklahoma City Thunder,Los Angeles Lakers,V
San Antonio Spurs,Toronto Raptors,H
Denver Nuggets,Sacramento Kings,V
Houston Rockets,Golden State Warriors,V
Utah Jazz,Cleveland Cavaliers,V
Boston Celtics,Dallas Mavericks,H
Indiana Pacers,Chicago Bulls,V
Brooklyn Nets,Memphis Grizzlies,V
Miami Heat,Washington Wizards,H
Minnesota Timberwolves,Orlando Magic,H
Milwaukee Bucks,Atlanta Hawks,H
Los Angeles Clippers,Phoenix Suns,V
New York Knicks,Los Angeles Lakers,V
Oklahoma City Thunder,Portland Trail Blazers,V
Denver Nuggets,Charlotte Hornets,H
Utah Jazz,Detroit Pistons,V
Philadelphia 76ers,Dallas Mavericks,H
New Orleans Pelicans,Cleveland Cavaliers,V
Toronto Raptors,Milwaukee Bucks,V
San Antonio Spurs,Memphis Grizzlies,H
Portland Trail Blazers,Houston Rockets,H
Golden State Warriors,Sacramento Kings,V
Brooklyn Nets,Chicago Bulls,V
Los Angeles Clippers,Orlando Magic,H
Minnesota Timberwolves,Los Angeles Lakers,H
Atlanta Hawks,Miami Heat,H
Washington Wizards,Oklahoma City Thunder,V
Toronto Raptors,Indiana Pacers,H
Charlotte Hornets,Phoenix Suns,V
San Antonio Spurs,Detroit Pistons,V
Boston Celtics,Brooklyn Nets,H
Houston Rockets,Denver Nuggets,H
Milwaukee Bucks,Utah Jazz,H
New Orleans Pelicans,Memphis Grizzlies,H
Los Angeles Lakers,Dallas Mavericks,V
Portland Trail Blazers,New York Knicks,H
Sacramento Kings,Orlando Magic,H
Indiana Pacers,Cleveland Cavaliers,V
Philadelphia 76ers,Washington Wizards,H
Denver Nuggets,Miami Heat,V
Toronto Raptors,Atlanta Hawks,H
Minnesota Timberwolves,Oklahoma City Thunder,V
Phoenix Suns,Sacramento Kings,H
Golden State Warriors,New York Knicks,H
Los Angeles Clippers,Charlotte Hornets,H
Boston Celtics,Indiana Pacers,H
Washington Wizards,Philadelphia 76ers,H
Brooklyn Nets,Atlanta Hawks,H
Milwaukee Bucks,Houston Rockets,V
Memphis Grizzlies,San Antonio Spurs,H
